,SS,label
SubSec 7.2.2.3,7.2.2.3,"For some users, particularly for shunting team leaders, up to twenty valid numbersmay be stored for one controller type. In these cases, the identities of the controllerscorresponding to these valid numbers shall be displayed with an audible and visualprompt for one to be selected. The number of the controller selected shall then be usedto establish the call. If no selection is made by the user within 10 seconds the radioshall abandon the call attempt. (O)"
SubSec 7.2.2.4,7.2.2.4,"Once an appropriate number has been obtained, the radio shall attempt to establish acall to this number with railway operation priority. (M)"
SubSec 7.2.2.5,7.2.2.5,An audible and visual indication shall be provided to the user that the call isproceeding. (M)
SubSec 7.2.2.6,7.2.2.6,"When the call is connected to the controller, an audible and visual indication shall beprovided to the user. (M)"
SubSec 7.2.2.7,7.2.2.7,"The functional identity of the connected party, if available, shall be displayed to theuser. (M)"
SubSec 7.2.2.8,7.2.2.8,"Where available, an alphanumeric description of the identity of the connected partyshall be displayed. (M)"
SubSec 7.2.2.9,7.2.2.9,"If the system is not able to connect the call, an audible and visual indication shall beprovided to the user. (M)Send Railway emergency call"
SubSec 7.2.3,7.2.3,Other functionsSwitch radio on and off
SubSec 7.2.3.1,7.2.3.1,"The radio shall have an on/off switch. Switching the radio ‘on’ shall initiate thefollowing: (M)- transitory lighting of any display, controls or indicator lights;- automatic self-testing;- if the self-test fails a visible and audible indication shall be provided;- connection to a mobile network (see section 3.3);- if connection is successful, the name of the network shall be displayed and anaudible confirmation of successful connection shall be given;- if connection is not successful, an audible and visual indication shall be provided."
SubSec 7.2.3.10,7.2.3.10,It shall be possible to register and deregister a functional number in the following way:- Initiated by the user and transmitted to the ground:- user enters functional number which is transmitted to the network. (M)
SubSec 7.2.3.11,7.2.3.11,"Where a change of functional number is required, it shall be possible for the user toinitiate the change. (M)Store/retrieve numbers and their details"
SubSec 7.2.3.12,7.2.3.12,It shall be possible for the user to find and display stored numbers and theirinformation. (M)
SubSec 7.2.3.13,7.2.3.13,It shall be possible for the user to store and/or overwrite numbers and their details inthe radio. (M)Computer interface
SubSec 7.2.3.14,7.2.3.14,A standard data interface should be provided to allow a computer to be connected tothe radio. (O)
SubSec 7.2.3.2,7.2.3.2,At this point the radio should be able to receive all calls initiated using the telephonenumber or appropriate group call number. (I)
SubSec 7.2.3.3,7.2.3.3,Switching the radio off shall cause the following: (M)- termination of all calls under the control of (ie initiated by) the radio;- disconnection of the radio from the network;- clearing the display and inhibition of functions.
SubSec 7.2.3.4,7.2.3.4,"When switched off, the radio shall retain any settings and numbers which are stored atthe time the radio is switched off. (M)Select language"
SubSec 7.2.3.5,7.2.3.5,Prompts and messages shall be capable of being displayed in at least 10 languages(each railway will choose which languages will be implemented). (M)
SubSec 7.2.3.6,7.2.3.6,The user shall be able to select his preferred language for the display; this setting shallbe retained by the radio. (M)
SubSec 7.2.3.7,7.2.3.7,"When the radio is first powered on, the language that appears on the display shall bethe default one set by the national railway. (M)Select mobile radio network"
SubSec 7.2.3.8,7.2.3.8,"Where more than one mobile radio network is available for use by a mobile, theselection of the network to use shall be automatic (see section 10.5). (M)"
SubSec 7.2.3.9,7.2.3.9,"When the mobile changes network automatically, a visual and audible indication shallbe given. (M)"
SubSec 7.2.3.9i,7.2.3.9i,It shall be possible for a user to override the automatic network selection manually.This function shall not be available during calls. (M)Register and deregister functional number
SubSec 7.3,7.3,Environmental and physical requirements
SubSec 7.3.1,7.3.1,The Operational radio shall comply with the basic standards defined for all EIRENEmobile equipment in section 4.3 and this section. The Operational radio is specified toallow its use in the operating environment experienced on the operational railway (egshunting and maintenance). (I)Climatic conditions
SubSec 7.3.10,7.3.10,Operational radios shall be equipped with rechargeable batteries capable of providinga minimum of eight hours operation from a single charge based on the following cycle(see section 4.3.9): (M)
SubSec 7.3.11,7.3.11,The Operational radio should be suitable for use with a car adapter kit. (O)
SubSec 7.3.2,7.3.2,"The Operational radio should be capable of withstanding exposure to the followingextreme environmental conditions: (O)- salt mist spray;- torrential rain at up to 2mm/min;- heavy hail;- snow and sand storms;- accretion of ice;- corrosive atmospheres (including sulphur dioxide, hydrogen sulphide, nitrogenoxides, ozone, organic hydrocarbons).Physical conditions"
SubSec 7.3.3,7.3.3,The Operational radio shall be of a rugged design suitable for use in the railwayenvironment by operational railway personnel. (M)
SubSec 7.3.4,7.3.4,The Operational radio should have a carry feature that allows the operator to instantlyhave both hands free without dropping the radio. It should be possible to release thecarry feature instantly in the event that the radio is caught on a projecting part of amoving vehicle. (O)
SubSec 7.3.5,7.3.5,Controls shall be designed such that they are suitable for use by people wearinggloves. (M)
SubSec 7.3.6,7.3.6,"Controls shall be designed for use in a wide range of conditions, eg splash proof andsuitable for viewing in direct sunlight and in darkness. (M)"
SubSec 7.3.7,7.3.7,It should be possible for a user to change the battery without the use of tools. (O)
SubSec 7.3.8,7.3.8,The weight of the Operational radio including battery should not exceed 800g. (O)Electrical
SubSec 7.3.9,7.3.9,It shall be possible to change the battery without losing data stored in the radio. (M)
SubSec 7.4,7.4,Operational radio man-machine interface
SubSec 7.4.1,7.4.1,Introduction
SubSec 7.4.1.1,7.4.1.1,The Operational radio MMI shall comprise the following components: (O)- display;- control panel;- loudspeaker;- microphone.
SubSec 7.4.1.2,7.4.1.2,The MMI shall be suitable for use by day and night. (O)
SubSec 7.4.2,7.4.2,Display
SubSec 7.4.2.1,7.4.2.1,"The display shall be capable of displaying at least 6 lines, each of 20 characters. (M)"
SubSec 7.4.3,7.4.3,Controls
SubSec 7.4.3.1,7.4.3.1,"Four buttons should be provided for designated stored numbers. (This facility isrequired for calls to local controllers, etc.) (O)"
SubSec 7.4.3.2,7.4.3.2,The emergency button shall be designed to avoid accidental use. (M)
SubSec 7.4.3.3,7.4.3.3,"If shunting mode is implemented, the link assurance button shall be designed to avoidaccidental use. (M)"
SubSec 7.4.3.4,7.4.3.4,A dedicated Push-To-Talk button shall be provided. (M)
SubSec 7.4.4,7.4.4,Indications
SubSec 7.4.4.1,7.4.4.1,A visual and audible alarm shall be given when the remaining capacity of the battery issuch as to enable only 10 minutes of full duplex call time. (M)
SubSec 7.4.4.2,7.4.4.2,A visual indication shall be provided to the user if the network service is no longeravailable. (M)
SubSec 7.4.4.3,7.4.4.3,An audible indication should be provided to the user if the network service is nolonger available. (O)
SubSec 8.,8.,Controller equipment specifications;
SubSec 8.1,8.1,General
SubSec 8.1.1,8.1.1,"Within a railway operational structure there may be several different controller typessuch as primary, power, secondary, etc. These may be physically separate or colocated;however, the majority of interaction is with the primary controller. Thissection addresses the following: (I)- primary controller’s MMI;- other controllers’ MMIs;- controller terminal interface;- environmental specifications."
SubSec 8.1.2,8.1.2,Detailed specification of controller equipment and the interface between suchequipment and the EIRENE network is at the discretion of the railway operator. (I)
SubSec 8.1.3,8.1.3,"Within a control centre’s equipment, the radio control functions and presentation maybe integrated within a set of equipment used for other control operations. Thefollowing description is based on dedicated equipment but does not precludeintegration. (I)"
SubSec 8.1.4,8.1.4,Details concerning controller equipment requirements for Railway emergency calls aregiven in section 13. (I)
SubSec 8.2,8.2,Primary controller’s MMI
SubSec 8.2.1,8.2.1,"The primary controller’s MMI should provide the following functionality: (O)- Queue all incoming calls or call requests.- Display the queue to the controller, showing the functional identity and priority ofcallers. High priority calls should be identified and presented at the top of thequeue.- Allow the controller to select any of the incoming calls currently queued by thesystem.- Allow the controller to establish a call of Railway emergency, public emergency orrailway operation priority to any mobile by selection from the display.- Allow the controller to establish, close, enter and leave group calls (at Railwayemergency, public emergency or railway operation priority).- Allow sending and receiving of text messages."
SubSec 8.2.2,8.2.2,"For post incident analysis, the controller equipment should provide the possibility torecord all operational speech and data calls. (O)"
SubSec 8.2.3,8.2.3,It should be possible for calls to be answered automatically according to incoming callpriority as defined in section 10.2. (O)
SubSec 8.3,8.3,Other controllers’ MMIs
SubSec 8.3.1,8.3.1,"The functionality required by other types of controllers is essentially the same as forprimary controllers, but the control area will differ and the call set-up subsystem maybe integrated into their own function management system. (I)"
SubSec 8.3.2,8.3.2,"At the detailed level, different controllers may have specific addressing needs, egcatering controllers will need to call specific vehicles in a train. (I)"
SubSec 8.4,8.4,Controller terminal interface
SubSec 8.4.1,8.4.1,The communications architecture will be dictated by local circumstances. Thedefinition of this interface is beyond the scope of EIRENE. (I)
SubSec 8.5,8.5,Environmental specification
SubSec 8.5.1,8.5.1,"The controller equipment must be designed to function correctly in a railway operatingenvironment, such as control centres and signal boxes. (I)"
SubSec 9.,9.,Numbering plan;
SubSec 9.1,9.1,General
SubSec 9.1.1,9.1.1,"International standardisation of numbering plans is needed to ensure interworkingbetween networks. Furthermore, standardised allocation of numbers to subscriberswill facilitate schemes for identification, barring, etc. (I)"
SubSec 9.1.2,9.1.2,This section addresses the following: (I)- numbering plan requirements;- standardised telephone numbers;- group numbers;- calls from external networks to the EIRENE network.
SubSec 9.2,9.2,Numbering plan requirements
SubSec 9.2.1,9.2.1,General
SubSec 9.2.1.1,9.2.1.1,The EIRENE system shall enable users to originate and receive calls by functionalnumber. (M)
SubSec 9.2.1.2,9.2.1.2,Each mobile shall be identified by a unique telephone number. (M)
SubSec 9.2.2,9.2.2,Use of train number
SubSec 9.2.2.1,9.2.2.1,The use of train numbers to address trains shall not result in any ambiguities. (I)
SubSec 9.2.2.2,9.2.2.2,Every on-train function shall be identified by a unique standard number. (M)
SubSec 9.2.3,9.2.3,Use of engine/coach number
SubSec 9.2.3.1,9.2.3.1,The use of engine/coach numbers to address trains shall not result in any ambiguities.(I)
SubSec 9.2.3.2,9.2.3.2,Every on-engine/coach function shall be identified by a unique standard number. (M)
SubSec 9.2.4,9.2.4,"Use of shunting team, maintenance team or controller number"
SubSec 9.2.4.1,9.2.4.1,Every shunting team number shall be based on an association of: (M)- service area identifier;
SubSec 9.2.4.2,9.2.4.2,Every maintenance team number shall be based on an association of: (M)- service area identifier;- type of maintenance team (speciality code);- maintenance team identifier.
SubSec 9.2.4.3,9.2.4.3,Every controller number shall be based on an association of: (M)- controller location;- controller identifier.
SubSec 9.2.4.4,9.2.4.4,The numbering for other teams shall be treated in the same way as maintenance teamsin 9.2.4.2. (M)
SubSec 9.2.5,9.2.5,Use of group calls
SubSec 9.2.5.1,9.2.5.1,Group call service areas shall be freely configurable within the operationalresponsibility of each railway network. (M)
SubSec 9.2.6,9.2.6,Use of alphanumerical numbers
SubSec 9.2.6.1,9.2.6.1,"In some countries, train numbers are alphanumeric. Support for such numbers is notrequired for interoperability. (I)"
SubSec 9.3,9.3,Telephone numbers
SubSec 9.3.1,9.3.1,"Telephone numbers can be defined on a national basis, but codes for certain functionsshall be used on an international basis in order to allow interoperability. (M)"
SubSec 9.3.2,9.3.2,"For certain functions, standardised telephone numbers shall be implemented. Thesefunctions are: (M)- Route call to most appropriate ERTMS/ETCS RBC;- Railway emergency call;- Route call to primary controller;- Route call to secondary controller;"
SubSec 9.4,9.4,Group numbers
SubSec 9.4.1,9.4.1,"To provide interoperability between the fixed railway networks within the EIRENEnetwork, standardisation of UIC group numbering will be required. (I)"
SubSec 9.4.2,9.4.2,"In network boundary areas, the pre-defined local area shall be allocated on a bilateralbasis. (M)"
SubSec 9.5,9.5,Calls from external networks to the EIRENE network
SubSec 9.5.1,9.5.1,Authorised users within the EIRENE network shall be able to receive calls from callingparties outside the EIRENE network. (M)PAGE LEFT INTENTIONALLY BLANK
